Team,Position,Name,Minutes played,Games played,Yellow Cards,Red Cards,Goals scored,Penalties scored,Own goals,Tackles,Shots,Assists,Passes,Goals_per_Game,Cards_per_Game,Pass_Accuracy_Estimate,Set
Real Madrid,Midfielder,D. Ceballos,1.246,23,3,0,3,0,0,1,12,0,1.015,0.13043478260869565,0.13043478260869565,0.0,Train
Real Madrid,Midfielder,Álvaro Fidalgo,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
Real Madrid,Midfielder,Jaume Grau,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Madrid,Forward,Cristo González,45.0,1,0,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,Train
Real Madrid,Forward,Mariano,439.0,13,2,0,3,0,0,0,15,0,92.0,0.23076923076923078,0.15384615384615385,0.0,Test
Real Madrid,Forward,Benzema,2.9610000000000003,36,1,0,21,3,0,1,85,6,1.183,0.5833333333333334,0.027777777777777776,5.07185122569738,Train
Real Madrid,Forward,Bale,1.7919999999999998,29,4,0,8,1,0,3,67,3,690.0,0.27586206896551724,0.13793103448275862,0.004347826086956522,Train
Real Madrid,Forward,L. Vázquez,1.501,31,4,1,1,0,0,1,18,3,875.0,0.03225806451612903,0.1935483870967742,0.0034285714285714284,Train
Real Madrid,Forward,Vinicius,864.0,18,0,0,2,0,0,1,31,0,285.0,0.1111111111111111,0.0,0.0,Train
Real Sociedad,Goalkeeper,Andoni Zubiaurre,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Sociedad,Goalkeeper,Gero Rulli,2.43,27,3,0,0,0,0,0,0,0,983.0,0.0,0.1111111111111111,0.0,Train
Real Sociedad,Goalkeeper,Moyà,990.0,11,1,0,0,0,0,0,0,0,326.0,0.0,0.09090909090909091,0.0,Train
Real Sociedad,Defender,Zaldúa,2.141,26,7,0,1,0,0,3,5,2,899.0,0.038461538461538464,0.2692307692307692,0.002224694104560623,Train
